url,external category,iprism comment,fortigate category,fortigate subcategory
*://108.61.198.45,ld,,,
*://192.161.180.246,ld,,,
*://108.61.166.110,ld,,,
*://5.61.35.38,ld,,,
*://72.47.232.26,ld,,,
*://151.80.94.248,ld,,,
*://207.182.149.14,ld,,,
*://205.234.186.112,ld,,,
*://*.jdmtea.com,othm,,,
https://portal.sled.sc.gov,la,,,
https://23.198.106.73,ld,,,
*://*.acrobat.com,ld,,,
*://*.adobe.com,l11,,,
http://vimeo.com/1623102,la,,,
*://*.oascentral.epilot.com,ld,,,
*://208.105.226.235,"malw,othm",,,
*://212.31.102.100,"malw,othm",,,
*://58.185.154.99,"malw,othm",,,
*://200.87.126.116,"malw,othm",,,
*://*.drive.google.com,l8,,,
*://88.53.215.64,"malw,othm",,,
*://217.96.33.164,"malw,othm",,,
*://203.131.222.102,"malw,othm",,,
http://*.ruger.com,la,,,
https://*.logmein.com,ld,,,
https://*.logmein.in,ld,,,
http://*.akamaihd.net,la,,,
https://exchange.leapfile.com,la,,,
*://*.dmtracker.com,ld,,,
https://chrome.google.com/webstore/detail/chrome-remote-desktop,ld,,,
*://*yourinstaller.com,"spyw,othm",,,
*://*.spccint.com,"spyw,othm",,,
*://*celebritybeautymag.com-html.pw/,ld,,,
*://*.quuit.com/,ld,,,
*://*.cdninstagram.com/,"m/h,sn/d",,,
*://*.lphbs.com/,ld,,,
*://*.kareeza.com/,"spyw,othm",,,
*://*.nr-data.net,ld,,,
*://*.youtube.com-login.mobi/,"malw,othm",,,
*://*.updatexplore.com/,"malw,othm",,,
*://*.update.mcafeea.com/,"malw,othm",,,
*://*.newsonair.org/,"malw,othm",,,
*://*.mediaplayercodec.net/,"malw,othm",,,
*://*.mcafeea.com/,"malw,othm",,,
*://*.login.yahoo.com-login.mobi/,"malw,othm",,,
*://*.internetexplorer.org/,"malw,othm",,,
*://*.fun4us.us,"malw,othm",,,
*://*.flycenter.ir,"malw,othm",,,
*://*.eyeleo.com-login.mobi,la,,,
*://*.downloadcenter.mcafeea.com,"malw,othm",,,
*://*.download.updatexplore.com,"malw,othm",,,
*://*.com-login.mobi,"malw,othm",,,
*://*.accounts.google.com-login.mobi,"malw,othm",,,
*://*.4techspot.com,"malw,othm",,,
*://*.voxility.net,"malw,othm",,,
*://ak.imgfarm.com,ld,,,
*://*.tumblr.com/,Blog,,,
*://audiomack.com,ld,,,
*://cdn.media9.truegod.tv/,ld,,,
http://*.madammeowpics.com/,ld,,,
*://*.verizon54.com,"viru,othm",,,
*://*.gifas.asso.fr/,ld,,,
*://*.vfw.org,ld,,,
https://vpn.scdmv.net,la,,,
https://secauth.scdmv.net,la,,,
http://fpdownload2.macromedia.com/get/flashplayer/update/,la,,,
*://*.noadradio.com,ld,,,
http://feeds.foxsports.com,ld,,,
https://*.uvnc.com,ld,,,
https://*.realvnc.com,ld,,,
https://*.tightvnc.com,ld,,,
https://*.showmypc.com,ld,,,
https://*.gotomypc.com,ld,,,
https://*.islonline.com,ld,,,
*://*.gotoassist.com,ld,,,
https://*.moxiesoft.com,ld,,,
http://sqm.microsoft.com/,l9,,,
http://watson.microsoft.com/,l9,,,
*://update.microsoft.com/,l9,,,
http://*.palmettostatearmory.com,la,,,
https://*.palmettostatearmory.com,la,,,
*://87.255.51.229,"malw,othm",,,
*://86.124.164.25,"malw,othm",,,
*://212.71.250.4,"malw,othm",,,
*://194.28.174.119,"malw,othm",,,
*://192.210.230.39,"malw,othm",,,
*://*.microsoft.com/technet,la,,,
http://privaterottos.us,ld,,,
http://*.nflximg.com/en_us/buttons/play-button-114.png/protocol/block,ld,,,
http://*.livemixtapes.com,ld,,,
http://*.nflxext.com/FilePackageGetter/,ld,,,
http://www.traileraddict.com,ld,,,
http://www.rogersondemand.com,ld,,,
http://*.stream.hotnewhiphop.com/,ld,,,
http://*.artistdirect.com,ld,,,
http://*.mowline.com/,ld,,,
http://*.jamendo.com,ld,,,
http://www.hotnewhiphop.com/songs/,ld,,,
http://www.hotnewhiphop.com/mixtapes/,ld,,,
http://www.hotnewhiphop.com/videos/,ld,,,
http://www.hotnewhiphop.com/articles/hotties/,ld,,,
*://*.craigslist.org,ld,,,
http://turnerpga-f.akamaihd.net/control,ld,,,
http://data.pga.com/,ld,,,
http://*.majorschampionships.com/data,ld,,,
http://digitalsmiths.pga.com/pga/,ld,,,
https://*.icloud.com,l12,,,
http://*.icloud.com,l12,,,
https://*.facebook.net,l4,,,
*://*.apple.com/,l12,,,
*://*.itunes.com,l12,,,
*://*.isound.be,ld,,,
http://cache-download.real.com,ld,,,
https://pipl.com,ld,,,
*://download.mozilla.org/,la,,,
http://systemcentre.blogspot.com/,la,,,
*://184.82.177.125,ld,,,
*://*.nbc.com,ld,,,
*://*.windowsupdate.com,l9,,,
*://*.teamviewer.com,l10,,,
*://*.youtrap.com,"malw,nr",,,
http://*.winvistatips.com,la,,,
http://*.jimsstores.com,ld,,,
http://*.loopster.com,ld,,,
http://*.msecn.net,ld,,,
http://*.windowsupdate.com,l9,,,
http://*.blogspot.com,ld,,,
http://*.bloglovin.com,ld,,,
http://*.mommysdirtylittlesecret.com,ld,,,
*://*.dayviews.com,ld,,,
*://*.bigarabcock.com,"prn,nr",,,
*://*.stiffdaddy.com,"prn,nr",,,
*://*.bloggerplugins.org,ld,,,
https://play.google.com/store/apps/,ld,,,
*://*.myvidster.com,ld,,,
http://*.staticflickr.com,ld,,,
http://*.pmsimage.com,ld,,,
*://*.myspace.com,l7,,,
*://*.freebieslounge.com,"malw,othm",,,
*://*.antipiracypetition.com,"malw,othm",,,
*://*.digitalminds.cn,"malw,othm",,,
http://streaming.1073jamz.com/_players/coxradio/index.php,ld,,,
http://www.monkeysee.com/categories/19-games-and-gaming,ld,,,
*://*.2afirearmsdealer.com,la,,,
*://*.midwestgunworks.com,la,,,
http://*.gunsandammo.com,la,,,
*://*.springfield-armory.com,la,,,
http://91.121.126.78,ld,,,
https://*.siriusxm.com,ld,,,
*://*.openx.net,ld,,,
*://*.totalprosports.com,ld,,,
*://*.dyndns.org:81,ld,,,
